['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.7535
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.7535
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.7427
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.7592
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.7006
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.5814
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.8076
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.8939
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['brightness'], severity: 1,batch-size: 16,0.9438,0.9182
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.8575
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.8718
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['fog'], severity: 1,batch-size: 16,0.8239,0.8681
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['contrast'], severity: 1,batch-size: 16,0.8972,0.8972
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 16,0.2456,0.4934
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 16,0.3669,0.7612
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 16,0.6026,0.6304
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 2,batch-size: 16,0.214,0.6422
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['shot_noise'], severity: 2,batch-size: 16,0.2193,0.6213
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 2,batch-size: 16,0.3338,0.6424
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 2,batch-size: 16,0.1236,0.5233
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['glass_blur'], severity: 2,batch-size: 16,0.1683,0.4631
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['motion_blur'], severity: 2,batch-size: 16,0.3397,0.7005
