rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.5061
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.4816
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.6462
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.3039
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.6742
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.4332
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.8378
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['brightness'], severity: 1,batch-size: 16,0.9438,0.9316
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.8583
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.8757
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['fog'], severity: 1,batch-size: 16,0.8239,0.7336
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['contrast'], severity: 1,batch-size: 16,0.8972,0.8017
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 1,batch-size: 16,0.2456,0.2762
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['pixelate'], severity: 1,batch-size: 16,0.3669,0.4213
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 1,batch-size: 16,0.6026,0.5273
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 2,batch-size: 16,0.1236,0.1819
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['motion_blur'], severity: 2,batch-size: 16,0.3397,0.4832
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['glass_blur'], severity: 2,batch-size: 16,0.1683,0.2638
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 2,batch-size: 16,0.7748,0.8006
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['brightness'], severity: 2,batch-size: 16,0.9281,0.9157
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['snow'], severity: 2,batch-size: 16,0.694,0.6825
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['frost'], severity: 2,batch-size: 16,0.8063,0.7827
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['fog'], severity: 2,batch-size: 16,0.7252,0.6519
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['contrast'], severity: 2,batch-size: 16,0.8359,0.7592
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 2,batch-size: 16,0.194,0.2345
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['pixelate'], severity: 2,batch-size: 16,0.299,0.3626
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 2,batch-size: 16,0.5264,0.4648
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 3,batch-size: 16,0.1127,0.1541
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['motion_blur'], severity: 3,batch-size: 16,0.2289,0.3357
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['glass_blur'], severity: 3,batch-size: 16,0.1451,0.1753
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 3,batch-size: 16,0.7256,0.7809
