,, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.5072
,, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.3448
,, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.5072
,, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.5019
,, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.5042
,, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.1966
,, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.3156
,, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.5153
,, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.5926
,, reverse_iter: ,1, corruption: ,['brightness'], severity: 1,batch-size: 16,0.9438,0.7562
,, reverse_iter: ,1, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.6354
,, reverse_iter: ,1, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.7039
,, reverse_iter: ,1, corruption: ,['fog'], severity: 1,batch-size: 16,0.8239,0.6558
,, reverse_iter: ,1, corruption: ,['contrast'], severity: 1,batch-size: 16,0.8972,0.754
,, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 16,0.2456,0.304
,, reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 16,0.3669,0.5435
,, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 16,0.6026,0.3854
,, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 2,batch-size: 16,0.214,0.3041
,, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 2,batch-size: 16,0.2193,0.2943
,, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 2,batch-size: 16,0.3338,0.3143
,, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 2,batch-size: 16,0.1236,0.1559
,, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 2,batch-size: 16,0.1683,0.2133
,, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 2,batch-size: 16,0.3397,0.4
,, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 2,batch-size: 16,0.7748,0.5401
,, reverse_iter: ,1, corruption: ,['brightness'], severity: 2,batch-size: 16,0.9281,0.7537
,, reverse_iter: ,1, corruption: ,['snow'], severity: 2,batch-size: 16,0.694,0.4609
,, reverse_iter: ,1, corruption: ,['frost'], severity: 2,batch-size: 16,0.8063,0.6266
,, reverse_iter: ,1, corruption: ,['fog'], severity: 2,batch-size: 16,0.7252,0.5898
,, reverse_iter: ,1, corruption: ,['contrast'], severity: 2,batch-size: 16,0.8359,0.7039
,, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 2,batch-size: 16,0.194,0.2586
,, reverse_iter: ,1, corruption: ,['pixelate'], severity: 2,batch-size: 16,0.299,0.5095
,, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 2,batch-size: 16,0.5264,0.3523
,, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 3,batch-size: 16,0.1478,0.1693
,, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 3,batch-size: 16,0.1566,0.166
,, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 3,batch-size: 16,0.2011,0.2169
,, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 3,batch-size: 16,0.1127,0.1387
,, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 3,batch-size: 16,0.1451,0.1701
,, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 3,batch-size: 16,0.2289,0.3003
,, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 3,batch-size: 16,0.7256,0.5081
