['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.493
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.4695
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.6634
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.3252
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.7542
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.5181
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.9173
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['brightness'], severity: 1,batch-size: 16,0.9438,0.9437
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.8762
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.8905
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['fog'], severity: 1,batch-size: 16,0.8239,0.8712
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['contrast'], severity: 1,batch-size: 16,0.8972,0.9095
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 1,batch-size: 16,0.2456,0.2551
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['pixelate'], severity: 1,batch-size: 16,0.3669,0.4224
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 1,batch-size: 16,0.6026,0.5903
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 2,batch-size: 16,0.214,0.2717
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['shot_noise'], severity: 2,batch-size: 16,0.2193,0.2643
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['impulse_noise'], severity: 2,batch-size: 16,0.3338,0.393
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 2,batch-size: 16,0.1236,0.1647
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['glass_blur'], severity: 2,batch-size: 16,0.1683,0.2844
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['motion_blur'], severity: 2,batch-size: 16,0.3397,0.5332
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 2,batch-size: 16,0.7748,0.8989
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['brightness'], severity: 2,batch-size: 16,0.9281,0.9283
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['snow'], severity: 2,batch-size: 16,0.694,0.7021
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['frost'], severity: 2,batch-size: 16,0.8063,0.8054
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['fog'], severity: 2,batch-size: 16,0.7252,0.8266
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['contrast'], severity: 2,batch-size: 16,0.8359,0.8893
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 2,batch-size: 16,0.194,0.1992
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['pixelate'], severity: 2,batch-size: 16,0.299,0.3393
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 2,batch-size: 16,0.5264,0.5133
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 3,batch-size: 16,0.1478,0.1657
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['shot_noise'], severity: 3,batch-size: 16,0.1566,0.1722
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['impulse_noise'], severity: 3,batch-size: 16,0.2011,0.2308
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 3,batch-size: 16,0.1127,0.1335
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['glass_blur'], severity: 3,batch-size: 16,0.1451,0.1704
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['motion_blur'], severity: 3,batch-size: 16,0.2289,0.3451
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 3,batch-size: 16,0.7256,0.8868
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['brightness'], severity: 3,batch-size: 16,0.907,0.9073
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['snow'], severity: 3,batch-size: 16,0.7763,0.7782
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['frost'], severity: 3,batch-size: 16,0.709,0.7105
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['fog'], severity: 3,batch-size: 16,0.4007,0.5263
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['contrast'], severity: 3,batch-size: 16,0.6852,0.831
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 3,batch-size: 16,0.1581,0.1569
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['pixelate'], severity: 3,batch-size: 16,0.2184,0.2401
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 3,batch-size: 16,0.474,0.471
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 4,batch-size: 16,0.1223,0.1311
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['shot_noise'], severity: 4,batch-size: 16,0.131,0.1356
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['impulse_noise'], severity: 4,batch-size: 16,0.1368,0.1409
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 4,batch-size: 16,0.1207,0.1208
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['glass_blur'], severity: 4,batch-size: 16,0.1393,0.1454
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['motion_blur'], severity: 4,batch-size: 16,0.1858,0.2576
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 4,batch-size: 16,0.6441,0.8558
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['brightness'], severity: 4,batch-size: 16,0.8728,0.8734
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['snow'], severity: 4,batch-size: 16,0.6694,0.6693
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['frost'], severity: 4,batch-size: 16,0.7025,0.701
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['fog'], severity: 4,batch-size: 16,0.2001,0.2223
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['contrast'], severity: 4,batch-size: 16,0.3312,0.5839
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 4,batch-size: 16,0.145,0.1404
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['pixelate'], severity: 4,batch-size: 16,0.1496,0.173
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 4,batch-size: 16,0.3614,0.3601
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 5,batch-size: 16,0.1157,0.1135
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['shot_noise'], severity: 5,batch-size: 16,0.1252,0.1242
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['impulse_noise'], severity: 5,batch-size: 16,0.1216,0.1207
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 5,batch-size: 16,0.1278,0.1262
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['glass_blur'], severity: 5,batch-size: 16,0.1448,0.147
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['motion_blur'], severity: 5,batch-size: 16,0.1715,0.2228
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 5,batch-size: 16,0.5641,0.8238
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['brightness'], severity: 5,batch-size: 16,0.8175,0.817
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['snow'], severity: 5,batch-size: 16,0.5445,0.5464
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['frost'], severity: 5,batch-size: 16,0.6328,0.6333
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['fog'], severity: 5,batch-size: 16,0.1347,0.1247
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['contrast'], severity: 5,batch-size: 16,0.1687,0.2359
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 5,batch-size: 16,0.1343,0.1294
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['pixelate'], severity: 5,batch-size: 16,0.1386,0.1485
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 5,batch-size: 16,0.2888,0.2824
