['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.4808
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.4579
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.6567
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.3075
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.734
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.5061
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.9061
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['brightness'], severity: 1,batch-size: 16,0.9438,0.9441
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.875
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.8913
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['fog'], severity: 1,batch-size: 16,0.8239,0.8675
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['contrast'], severity: 1,batch-size: 16,0.8972,0.9112
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 16,0.2456,0.2505
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 16,0.3669,0.4057
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 16,0.6026,0.5818
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 2,batch-size: 16,0.214,0.2657
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['shot_noise'], severity: 2,batch-size: 16,0.2193,0.2589
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 2,batch-size: 16,0.3338,0.3892
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 2,batch-size: 16,0.1236,0.157
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['glass_blur'], severity: 2,batch-size: 16,0.1683,0.2729
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['motion_blur'], severity: 2,batch-size: 16,0.3397,0.5069
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 2,batch-size: 16,0.7748,0.8886
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['brightness'], severity: 2,batch-size: 16,0.9281,0.9281
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['snow'], severity: 2,batch-size: 16,0.694,0.6963
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['frost'], severity: 2,batch-size: 16,0.8063,0.806
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['fog'], severity: 2,batch-size: 16,0.7252,0.8208
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['contrast'], severity: 2,batch-size: 16,0.8359,0.8886
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 2,batch-size: 16,0.194,0.1965
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['pixelate'], severity: 2,batch-size: 16,0.299,0.3306
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 2,batch-size: 16,0.5264,0.5039
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 3,batch-size: 16,0.1478,0.1645
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['shot_noise'], severity: 3,batch-size: 16,0.1566,0.1728
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 3,batch-size: 16,0.2011,0.2304
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 3,batch-size: 16,0.1127,0.1316
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['glass_blur'], severity: 3,batch-size: 16,0.1451,0.1683
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['motion_blur'], severity: 3,batch-size: 16,0.2289,0.3289
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 3,batch-size: 16,0.7256,0.8748
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['brightness'], severity: 3,batch-size: 16,0.907,0.9076
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['snow'], severity: 3,batch-size: 16,0.7763,0.7772
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['frost'], severity: 3,batch-size: 16,0.709,0.7102
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['fog'], severity: 3,batch-size: 16,0.4007,0.4925
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['contrast'], severity: 3,batch-size: 16,0.6852,0.8247
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 3,batch-size: 16,0.1581,0.1536
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['pixelate'], severity: 3,batch-size: 16,0.2184,0.2355
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 3,batch-size: 16,0.474,0.46
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 4,batch-size: 16,0.1223,0.1296
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['shot_noise'], severity: 4,batch-size: 16,0.131,0.1332
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 4,batch-size: 16,0.1368,0.1402
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 4,batch-size: 16,0.1207,0.119
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['glass_blur'], severity: 4,batch-size: 16,0.1393,0.1422
