rand3,['l_2'],, reverse_iter: ,3, corruption: ,['gaussian_noise'], severity: 3,batch-size: 16,0.1478,0.1478,3.951558130645752,3.953694785308838
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['shot_noise'], severity: 3,batch-size: 16,0.1566,0.1568,3.949570135116577,3.952550509262085
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['impulse_noise'], severity: 3,batch-size: 16,0.2011,0.201,3.8188046405792235,3.8273139087677004
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['glass_blur'], severity: 3,batch-size: 16,0.1451,0.1448,2.6366281143188477,2.6398350858688353
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['defocus_blur'], severity: 3,batch-size: 16,0.1127,0.1139,2.9848365982055665,2.983784589767456
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['zoom_blur'], severity: 3,batch-size: 16,0.7256,0.7263,1.7967760020256043,1.7986207160949708
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['motion_blur'], severity: 3,batch-size: 16,0.2289,0.23,2.670524927139282,2.6677664236068726
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['snow'], severity: 3,batch-size: 16,0.7763,0.7768,2.2093302463531495,2.2003464017868044
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['frost'], severity: 3,batch-size: 16,0.709,0.71,2.747454983520508,2.7417344465255735
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['fog'], severity: 3,batch-size: 16,0.4007,0.4028,3.3981834098815917,3.3915881633758547
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['brightness'], severity: 3,batch-size: 16,0.907,0.9073,1.8700735301971436,1.8721313343048096
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['contrast'], severity: 3,batch-size: 16,0.6852,0.6862,2.6768680267333984,2.6776409797668457
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['pixelate'], severity: 3,batch-size: 16,0.2184,0.2189,3.2351211978912353,3.2345039001464846
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['jpeg_compression'], severity: 3,batch-size: 16,0.474,0.4753,2.1792520580291748,2.177679534912109
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['elastic_transform'], severity: 3,batch-size: 16,0.1581,0.1584,2.929143459701538,2.9278274154663086
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['gaussian_noise'], severity: 4,batch-size: 16,0.1223,0.1221,4.065539778137207,4.0683051197052
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['shot_noise'], severity: 4,batch-size: 16,0.131,0.1315,4.0684796211242675,4.070485837936402
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['impulse_noise'], severity: 4,batch-size: 16,0.1368,0.1373,4.035463202667236,4.037988624191284
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['glass_blur'], severity: 4,batch-size: 16,0.1393,0.1395,2.7670853553771972,2.777344947242737
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['defocus_blur'], severity: 4,batch-size: 16,0.1207,0.1221,3.011631402206421,3.0057316913604737
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['zoom_blur'], severity: 4,batch-size: 16,0.6441,0.6429,1.8596834760665895,1.8630109644889832
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['motion_blur'], severity: 4,batch-size: 16,0.1858,0.1861,2.7216687147140504,2.71673666305542
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['snow'], severity: 4,batch-size: 16,0.6694,0.6695,2.443205013465881,2.4384196714401245
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['frost'], severity: 4,batch-size: 16,0.7025,0.7024,2.803313317489624,2.7992266094207765
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['fog'], severity: 4,batch-size: 16,0.2001,0.2006,3.6334615753173827,3.6249048469543457
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['brightness'], severity: 4,batch-size: 16,0.8728,0.8728,2.092547084617615,2.0950069641113283
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['contrast'], severity: 4,batch-size: 16,0.3312,0.3308,2.9380915660858156,2.935810461425781
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['pixelate'], severity: 4,batch-size: 16,0.1496,0.15,3.4841871200561525,3.4727167808532715
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['jpeg_compression'], severity: 4,batch-size: 16,0.3614,0.362,2.3192253730773924,2.3167171207427977
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['elastic_transform'], severity: 4,batch-size: 16,0.145,0.1449,2.989648501205444,2.986256253051758
