rand3,['l_2'],, reverse_iter: ,3, corruption: ,['gaussian_noise'], severity: 5,batch-size: 16,0.1157,0.1159,4.115969007492065,4.116798264312744
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['shot_noise'], severity: 5,batch-size: 16,0.1252,0.1254,4.100162229537964,4.100716583633423
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['impulse_noise'], severity: 5,batch-size: 16,0.1216,0.1217,4.104951216888428,4.106323709106445
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['glass_blur'], severity: 5,batch-size: 16,0.1448,0.145,3.0308830879211426,3.029250037765503
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['defocus_blur'], severity: 5,batch-size: 16,0.1278,0.1282,3.0237263931274416,3.018404001617432
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['zoom_blur'], severity: 5,batch-size: 16,0.5641,0.5632,1.9380470744132996,1.9417466813087463
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['motion_blur'], severity: 5,batch-size: 16,0.1715,0.1715,2.7549529176712038,2.751574394416809
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['snow'], severity: 5,batch-size: 16,0.5445,0.5443,2.73913973197937,2.7304135482788086
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['frost'], severity: 5,batch-size: 16,0.6328,0.6326,2.9248325077056885,2.9215485931396485
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['fog'], severity: 5,batch-size: 16,0.1347,0.135,3.791824291229248,3.7812970737457277
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['brightness'], severity: 5,batch-size: 16,0.8175,0.8176,2.3129389225006105,2.315910070991516
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['contrast'], severity: 5,batch-size: 16,0.1687,0.1726,3.0239780849456785,3.021428706741333
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['pixelate'], severity: 5,batch-size: 16,0.1386,0.1391,3.605938274383545,3.598139065551758
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['jpeg_compression'], severity: 5,batch-size: 16,0.2888,0.2905,2.4519517322540283,2.4466159219741823
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['elastic_transform'], severity: 5,batch-size: 16,0.1343,0.1344,3.0423834938049317,3.0386528270721436
