rand3,['l_2'],, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.3963,3.1701589836120605,3.1539967195510865
rand3,['l_2'],, reverse_iter: ,2, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.3972,3.157626145553589,3.1509250820159913
rand3,['l_2'],, reverse_iter: ,3, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.3979,3.1528685066223145,3.152750481414795
rand3,['l_inf'],, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.4151,3.1701589836120605,3.1945564525604246
rand3,['l_inf'],, reverse_iter: ,2, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.4372,3.157626145553589,3.0613845273971556
rand3,['l_inf'],, reverse_iter: ,3, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.4512,3.1528685066223145,2.9722486358642577
rand3,['l_inf'],, reverse_iter: ,4, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.46,3.1555564350128176,2.901916131782532
rand3,['l_inf'],, reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.4678,3.1725128940582277,2.831991140174866
rand3,['l_inf'],, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.4047,3.215717557144165,3.2449276931762694
rand3,['l_inf'],, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.4047,3.215717557144165,3.2449276931762694
rand3,['l_inf'],, reverse_iter: ,2, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.4214,3.203246780395508,3.1160290336608885
rand3,['l_inf'],, reverse_iter: ,3, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.4365,3.1986744750976563,3.0306209230422976
rand3,['l_inf'],, reverse_iter: ,4, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.445,3.2054635036468504,2.9670066436767577
rand3,['l_inf'],, reverse_iter: ,5, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.4526,3.21555235786438,2.8962751203536987
