,['l_inf'],, reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.4759
,['l_inf'],, reverse_iter: ,5, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.4598
,['l_inf'],, reverse_iter: ,5, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.6081
,['l_inf'],, reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.4759
,['l_inf'],, reverse_iter: ,5, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.4604
,['l_inf'],, reverse_iter: ,5, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.6064
,['l_inf'],, reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.2555
,['l_inf'],, reverse_iter: ,5, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.6663
,['l_inf'],, reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.8258
,['l_inf'],, reverse_iter: ,5, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.4423
,['l_inf'],, reverse_iter: ,5, corruption: ,['brightness'], severity: 1,batch-size: 16,0.9438,0.9263
,['l_inf'],, reverse_iter: ,5, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.8556
,['l_inf'],, reverse_iter: ,5, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.8727
,['l_inf'],, reverse_iter: ,5, corruption: ,['fog'], severity: 1,batch-size: 16,0.8239,0.8004
,['l_inf'],, reverse_iter: ,5, corruption: ,['contrast'], severity: 1,batch-size: 16,0.8972,0.8563
,['l_inf'],, reverse_iter: ,5, corruption: ,['pixelate'], severity: 1,batch-size: 16,0.3669,0.4809
,['l_inf'],, reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 1,batch-size: 16,0.6026,0.6046
,['l_inf'],, reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 1,batch-size: 16,0.2456,0.3135
