,['l_inf'],, reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 2,batch-size: 16,0.214,0.2539
,['l_inf'],, reverse_iter: ,5, corruption: ,['impulse_noise'], severity: 2,batch-size: 16,0.3338,0.3432
,['l_inf'],, reverse_iter: ,5, corruption: ,['shot_noise'], severity: 2,batch-size: 16,0.2193,0.252
,['l_inf'],, reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 2,batch-size: 16,0.1236,0.1818
,['l_inf'],, reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 2,batch-size: 16,0.7748,0.7724
,['l_inf'],, reverse_iter: ,5, corruption: ,['motion_blur'], severity: 2,batch-size: 16,0.3397,0.4897
,['l_inf'],, reverse_iter: ,5, corruption: ,['glass_blur'], severity: 2,batch-size: 16,0.1683,0.2603
,['l_inf'],, reverse_iter: ,5, corruption: ,['brightness'], severity: 2,batch-size: 16,0.9281,0.9124
,['l_inf'],, reverse_iter: ,5, corruption: ,['snow'], severity: 2,batch-size: 16,0.694,0.6908
,['l_inf'],, reverse_iter: ,5, corruption: ,['frost'], severity: 2,batch-size: 16,0.8063,0.7951
,['l_inf'],, reverse_iter: ,5, corruption: ,['fog'], severity: 2,batch-size: 16,0.7252,0.7337
,['l_inf'],, reverse_iter: ,5, corruption: ,['contrast'], severity: 2,batch-size: 16,0.8359,0.8006
,['l_inf'],, reverse_iter: ,5, corruption: ,['pixelate'], severity: 2,batch-size: 16,0.299,0.3938
,['l_inf'],, reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 2,batch-size: 16,0.5264,0.5414
,['l_inf'],, reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 2,batch-size: 16,0.194,0.2545
,['l_inf'],, reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 3,batch-size: 16,0.1478,0.1629
,['l_inf'],, reverse_iter: ,5, corruption: ,['impulse_noise'], severity: 3,batch-size: 16,0.2011,0.2161
,['l_inf'],, reverse_iter: ,5, corruption: ,['shot_noise'], severity: 3,batch-size: 16,0.1566,0.1787
,['l_inf'],, reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 3,batch-size: 16,0.1127,0.163
,['l_inf'],, reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 3,batch-size: 16,0.7256,0.7396
,['l_inf'],, reverse_iter: ,5, corruption: ,['motion_blur'], severity: 3,batch-size: 16,0.2289,0.3388
,['l_inf'],, reverse_iter: ,5, corruption: ,['glass_blur'], severity: 3,batch-size: 16,0.1451,0.1941
,['l_inf'],, reverse_iter: ,5, corruption: ,['brightness'], severity: 3,batch-size: 16,0.907,0.8925
,['l_inf'],, reverse_iter: ,5, corruption: ,['snow'], severity: 3,batch-size: 16,0.7763,0.7678
,['l_inf'],, reverse_iter: ,5, corruption: ,['frost'], severity: 3,batch-size: 16,0.709,0.7112
,['l_inf'],, reverse_iter: ,5, corruption: ,['fog'], severity: 3,batch-size: 16,0.4007,0.5383
,['l_inf'],, reverse_iter: ,5, corruption: ,['contrast'], severity: 3,batch-size: 16,0.6852,0.6941
,['l_inf'],, reverse_iter: ,5, corruption: ,['pixelate'], severity: 3,batch-size: 16,0.2184,0.2923
,['l_inf'],, reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 3,batch-size: 16,0.474,0.5072
,['l_inf'],, reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 3,batch-size: 16,0.1581,0.1964
