['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.5609
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.5212
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.67
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.4137
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.7754
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.5183
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.9172
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['brightness'], severity: 1,batch-size: 16,0.9438,0.9421
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.8766
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.8911
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['fog'], severity: 1,batch-size: 16,0.8239,0.8552
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['contrast'], severity: 1,batch-size: 16,0.8972,0.8944
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 1,batch-size: 16,0.2456,0.2847
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['pixelate'], severity: 1,batch-size: 16,0.3669,0.4737
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 1,batch-size: 16,0.6026,0.5854
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 2,batch-size: 16,0.214,0.2968
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['shot_noise'], severity: 2,batch-size: 16,0.2193,0.276
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['impulse_noise'], severity: 2,batch-size: 16,0.3338,0.3774
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 2,batch-size: 16,0.1236,0.1889
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['glass_blur'], severity: 2,batch-size: 16,0.1683,0.3331
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['motion_blur'], severity: 2,batch-size: 16,0.3397,0.5703
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 2,batch-size: 16,0.7748,0.9006
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['brightness'], severity: 2,batch-size: 16,0.9281,0.9282
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['snow'], severity: 2,batch-size: 16,0.694,0.7033
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['frost'], severity: 2,batch-size: 16,0.8063,0.8049
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['fog'], severity: 2,batch-size: 16,0.7252,0.8106
['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['contrast'], severity: 2,batch-size: 16,0.8359,0.8791
