['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.5112
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.4841
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.6613
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.3714
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.7368
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.5037
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.8913
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['brightness'], severity: 1,batch-size: 16,0.9438,0.9423
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.8753
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.8901
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['fog'], severity: 1,batch-size: 16,0.8239,0.8592
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['contrast'], severity: 1,batch-size: 16,0.8972,0.903
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 16,0.2456,0.2588
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 16,0.3669,0.4727
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 16,0.6026,0.5361
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 2,batch-size: 16,0.214,0.2882
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['shot_noise'], severity: 2,batch-size: 16,0.2193,0.2757
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 2,batch-size: 16,0.3338,0.3869
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 2,batch-size: 16,0.1236,0.1717
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['glass_blur'], severity: 2,batch-size: 16,0.1683,0.3101
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['motion_blur'], severity: 2,batch-size: 16,0.3397,0.5261
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 2,batch-size: 16,0.7748,0.8766
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['brightness'], severity: 2,batch-size: 16,0.9281,0.9273
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['snow'], severity: 2,batch-size: 16,0.694,0.6959
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['frost'], severity: 2,batch-size: 16,0.8063,0.8063
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['fog'], severity: 2,batch-size: 16,0.7252,0.8154
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['contrast'], severity: 2,batch-size: 16,0.8359,0.8848
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 2,batch-size: 16,0.194,0.2027
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['pixelate'], severity: 2,batch-size: 16,0.299,0.3797
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 2,batch-size: 16,0.5264,0.4646
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 3,batch-size: 16,0.1478,0.1799
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['shot_noise'], severity: 3,batch-size: 16,0.1566,0.1851
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 3,batch-size: 16,0.2011,0.2411
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 3,batch-size: 16,0.1127,0.1435
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['glass_blur'], severity: 3,batch-size: 16,0.1451,0.1868
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['motion_blur'], severity: 3,batch-size: 16,0.2289,0.3473
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 3,batch-size: 16,0.7256,0.8588
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['brightness'], severity: 3,batch-size: 16,0.907,0.9056
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['snow'], severity: 3,batch-size: 16,0.7763,0.7748
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['frost'], severity: 3,batch-size: 16,0.709,0.7078
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['fog'], severity: 3,batch-size: 16,0.4007,0.4895
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['contrast'], severity: 3,batch-size: 16,0.6852,0.8266
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 3,batch-size: 16,0.1581,0.162
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['pixelate'], severity: 3,batch-size: 16,0.2184,0.2422
