sharpness,corruption: gaussian_noise, severity: 1,batch-size: 16,52.84,52.12
sharpness,corruption: shot_noise, severity: 1,batch-size: 16,51.18,50.9
sharpness,corruption: impulse_noise, severity: 1,batch-size: 16,46.3,46.34
sharpness,corruption: glass_blur, severity: 1,batch-size: 16,48.46,48.5
sharpness,corruption: defocus_blur, severity: 1,batch-size: 16,50.56,49.64
sharpness,corruption: zoom_blur, severity: 1,batch-size: 16,41.96,41.5
sharpness,corruption: motion_blur, severity: 1,batch-size: 16,54.24,52.98
sharpness,corruption: brightness, severity: 1,batch-size: 16,60.2,58.96
sharpness,corruption: snow, severity: 1,batch-size: 16,44.12,43.34
fixed5,sharpness,corruption: frost, severity: 1,batch-size: 16,49.74,49.1
fixed5,sharpness,corruption: fog, severity: 1,batch-size: 16,53.64,51.0
fixed5,sharpness,corruption: contrast, severity: 1,batch-size: 16,55.78,54.12
fixed5,sharpness,corruption: pixelate, severity: 1,batch-size: 16,55.84,55.06
fixed5,sharpness,corruption: jpeg_compression, severity: 1,batch-size: 16,55.36,53.5
fixed5,sharpness,corruption: elastic_transform, severity: 1,batch-size: 16,54.68,53.74
fixed5,sharpness,corruption: gaussian_noise, severity: 2,batch-size: 16,46.28,45.96
fixed5,sharpness,corruption: shot_noise, severity: 2,batch-size: 16,43.3,44.28
fixed5,sharpness,corruption: impulse_noise, severity: 2,batch-size: 16,39.66,40.88
fixed5,sharpness,corruption: glass_blur, severity: 2,batch-size: 16,39.36,39.94
fixed5,sharpness,corruption: defocus_blur, severity: 2,batch-size: 16,45.58,44.34
fixed5,sharpness,corruption: zoom_blur, severity: 2,batch-size: 16,35.46,34.74
fixed5,sharpness,corruption: motion_blur, severity: 2,batch-size: 16,47.84,47.02
fixed5,sharpness,corruption: brightness, severity: 2,batch-size: 16,58.72,57.74
fixed5,sharpness,corruption: snow, severity: 2,batch-size: 16,32.46,32.66
fixed5,sharpness,corruption: frost, severity: 2,batch-size: 16,38.48,37.68
fixed5,sharpness,corruption: fog, severity: 2,batch-size: 16,51.14,48.36
fixed5,sharpness,corruption: contrast, severity: 2,batch-size: 16,53.08,51.16
fixed5,sharpness,corruption: pixelate, severity: 2,batch-size: 16,54.24,53.62
fixed5,sharpness,corruption: jpeg_compression, severity: 2,batch-size: 16,52.16,51.36
fixed5,sharpness,corruption: elastic_transform, severity: 2,batch-size: 16,36.86,35.7
fixed5,sharpness,corruption: gaussian_noise, severity: 3,batch-size: 16,35.38,36.14
fixed5,sharpness,corruption: shot_noise, severity: 3,batch-size: 16,33.9,35.0
fixed5,sharpness,corruption: impulse_noise, severity: 3,batch-size: 16,34.44,35.28
fixed5,sharpness,corruption: glass_blur, severity: 3,batch-size: 16,18.78,18.96
fixed5,sharpness,corruption: defocus_blur, severity: 3,batch-size: 16,36.7,35.64
fixed5,sharpness,corruption: zoom_blur, severity: 3,batch-size: 16,29.76,29.38
fixed5,sharpness,corruption: motion_blur, severity: 3,batch-size: 16,37.66,36.2
fixed5,sharpness,corruption: brightness, severity: 3,batch-size: 16,56.18,55.5
fixed5,sharpness,corruption: snow, severity: 3,batch-size: 16,32.44,31.88
