sharpness,corruption: gaussian_noise, severity: 1,batch-size: 16,51.46,50.68
sharpness,corruption: gaussian_noise, severity: 1,batch-size: 16,52.84,51.74
sharpness,corruption: shot_noise, severity: 1,batch-size: 16,51.18,51.16
sharpness,corruption: impulse_noise, severity: 1,batch-size: 16,46.3,47.3
sharpness,corruption: glass_blur, severity: 1,batch-size: 16,48.46,49.06
sharpness,corruption: defocus_blur, severity: 1,batch-size: 16,50.56,50.0
sharpness,corruption: zoom_blur, severity: 1,batch-size: 16,41.96,42.0
sharpness,corruption: motion_blur, severity: 1,batch-size: 16,54.24,53.8
sharpness,corruption: brightness, severity: 1,batch-size: 16,60.2,60.16
sharpness,corruption: snow, severity: 1,batch-size: 16,44.12,44.08
sharpness,corruption: frost, severity: 1,batch-size: 16,49.74,49.58
sharpness,corruption: fog, severity: 1,batch-size: 16,53.64,52.88
sharpness,corruption: contrast, severity: 1,batch-size: 16,55.78,55.36
sharpness,corruption: pixelate, severity: 1,batch-size: 16,55.84,56.0
rand3,sharpness,corruption: jpeg_compression, severity: 1,batch-size: 16,55.36,54.98
rand3,sharpness,corruption: elastic_transform, severity: 1,batch-size: 16,54.68,53.88
rand3,sharpness,corruption: gaussian_noise, severity: 2,batch-size: 16,46.28,45.16
rand3,sharpness,corruption: shot_noise, severity: 2,batch-size: 16,43.3,44.5
rand3,sharpness,corruption: impulse_noise, severity: 2,batch-size: 16,39.66,41.28
rand3,sharpness,corruption: glass_blur, severity: 2,batch-size: 16,39.36,40.14
rand3,sharpness,corruption: defocus_blur, severity: 2,batch-size: 16,45.58,45.06
rand3,sharpness,corruption: zoom_blur, severity: 2,batch-size: 16,35.46,35.18
rand3,sharpness,corruption: motion_blur, severity: 2,batch-size: 16,47.84,47.14
rand3,sharpness,corruption: brightness, severity: 2,batch-size: 16,58.72,58.36
rand3,sharpness,corruption: snow, severity: 2,batch-size: 16,32.46,32.5
rand3,sharpness,corruption: frost, severity: 2,batch-size: 16,38.48,38.58
rand3,sharpness,corruption: fog, severity: 2,batch-size: 16,51.14,50.26
rand3,sharpness,corruption: contrast, severity: 2,batch-size: 16,53.08,52.86
rand3,sharpness,corruption: pixelate, severity: 2,batch-size: 16,54.24,54.62
rand3,sharpness,corruption: jpeg_compression, severity: 2,batch-size: 16,52.16,52.18
rand3,sharpness,corruption: elastic_transform, severity: 2,batch-size: 16,36.86,36.06
rand3,sharpness,corruption: gaussian_noise, severity: 3,batch-size: 16,35.38,36.16
rand3,sharpness,corruption: shot_noise, severity: 3,batch-size: 16,33.9,35.34
rand3,sharpness,corruption: impulse_noise, severity: 3,batch-size: 16,34.44,36.06
rand3,sharpness,corruption: glass_blur, severity: 3,batch-size: 16,18.78,19.48
rand3,sharpness,corruption: defocus_blur, severity: 3,batch-size: 16,36.7,36.42
rand3,sharpness,corruption: zoom_blur, severity: 3,batch-size: 16,29.76,29.96
rand3,sharpness,corruption: motion_blur, severity: 3,batch-size: 16,37.66,37.36
rand3,sharpness,corruption: brightness, severity: 3,batch-size: 16,56.18,55.84
rand3,sharpness,corruption: snow, severity: 3,batch-size: 16,32.44,32.02
rand3,sharpness,corruption: frost, severity: 3,batch-size: 16,31.34,31.46
rand3,sharpness,corruption: fog, severity: 3,batch-size: 16,46.06,44.9
rand3,sharpness,corruption: contrast, severity: 3,batch-size: 16,48.96,48.68
rand3,sharpness,corruption: pixelate, severity: 3,batch-size: 16,46.36,49.28
rand3,sharpness,corruption: jpeg_compression, severity: 3,batch-size: 16,48.96,49.46
rand3,sharpness,corruption: elastic_transform, severity: 3,batch-size: 16,49.24,48.94
rand3,sharpness,corruption: gaussian_noise, severity: 4,batch-size: 16,23.34,24.92
rand3,sharpness,corruption: shot_noise, severity: 4,batch-size: 16,19.04,21.06
rand3,sharpness,corruption: impulse_noise, severity: 4,batch-size: 16,22.02,23.94
rand3,sharpness,corruption: glass_blur, severity: 4,batch-size: 16,13.14,13.54
rand3,sharpness,corruption: defocus_blur, severity: 4,batch-size: 16,29.54,28.92
rand3,sharpness,corruption: zoom_blur, severity: 4,batch-size: 16,25.32,25.14
rand3,sharpness,corruption: motion_blur, severity: 4,batch-size: 16,26.14,25.66
rand3,sharpness,corruption: brightness, severity: 4,batch-size: 16,52.84,52.36
rand3,sharpness,corruption: snow, severity: 4,batch-size: 16,25.9,25.08
rand3,sharpness,corruption: frost, severity: 4,batch-size: 16,29.7,29.4
rand3,sharpness,corruption: fog, severity: 4,batch-size: 16,40.38,39.14
rand3,sharpness,corruption: contrast, severity: 4,batch-size: 16,33.52,32.54
rand3,sharpness,corruption: pixelate, severity: 4,batch-size: 16,37.14,38.94
rand3,sharpness,corruption: jpeg_compression, severity: 4,batch-size: 16,40.42,41.44
rand3,sharpness,corruption: elastic_transform, severity: 4,batch-size: 16,39.42,39.52
rand3,sharpness,corruption: gaussian_noise, severity: 5,batch-size: 16,10.42,11.36
rand3,sharpness,corruption: shot_noise, severity: 5,batch-size: 16,10.92,12.34
rand3,sharpness,corruption: impulse_noise, severity: 5,batch-size: 16,10.84,11.72
rand3,sharpness,corruption: glass_blur, severity: 5,batch-size: 16,9.52,10.06
rand3,sharpness,corruption: defocus_blur, severity: 5,batch-size: 16,22.36,22.18
rand3,sharpness,corruption: zoom_blur, severity: 5,batch-size: 16,20.8,20.52
rand3,sharpness,corruption: motion_blur, severity: 5,batch-size: 16,19.32,19.44
rand3,sharpness,corruption: brightness, severity: 5,batch-size: 16,49.1,48.62
rand3,sharpness,corruption: snow, severity: 5,batch-size: 16,23.24,22.98
rand3,sharpness,corruption: frost, severity: 5,batch-size: 16,25.18,25.02
rand3,sharpness,corruption: fog, severity: 5,batch-size: 16,28.7,27.42
rand3,sharpness,corruption: contrast, severity: 5,batch-size: 16,13.08,11.64
rand3,sharpness,corruption: pixelate, severity: 5,batch-size: 16,33.08,33.56
rand3,sharpness,corruption: jpeg_compression, severity: 5,batch-size: 16,29.74,31.12
rand3,sharpness,corruption: elastic_transform, severity: 5,batch-size: 16,16.9,16.98
