sharpness,corruption: gaussian_noise, severity: 1,batch-size: 16,52.84,50.14
sharpness,corruption: shot_noise, severity: 1,batch-size: 16,51.18,50.0
sharpness,corruption: impulse_noise, severity: 1,batch-size: 16,46.3,46.02
sharpness,corruption: glass_blur, severity: 1,batch-size: 16,48.46,48.46
sharpness,corruption: defocus_blur, severity: 1,batch-size: 16,50.56,49.0
sharpness,corruption: zoom_blur, severity: 1,batch-size: 16,41.96,40.98
sharpness,corruption: motion_blur, severity: 1,batch-size: 16,54.24,52.44
sharpness,corruption: brightness, severity: 1,batch-size: 16,60.2,57.96
sharpness,corruption: snow, severity: 1,batch-size: 16,44.12,43.1
sharpness,corruption: frost, severity: 1,batch-size: 16,49.74,46.7
rand5,sharpness,corruption: fog, severity: 1,batch-size: 16,53.64,50.1
rand5,sharpness,corruption: contrast, severity: 1,batch-size: 16,55.78,53.66
rand5,sharpness,corruption: pixelate, severity: 1,batch-size: 16,55.84,54.56
rand5,sharpness,corruption: jpeg_compression, severity: 1,batch-size: 16,55.36,53.22
rand5,sharpness,corruption: elastic_transform, severity: 1,batch-size: 16,54.68,52.6
rand5,sharpness,corruption: gaussian_noise, severity: 2,batch-size: 16,46.28,45.3
rand5,sharpness,corruption: shot_noise, severity: 2,batch-size: 16,43.3,43.7
rand5,sharpness,corruption: impulse_noise, severity: 2,batch-size: 16,39.66,40.84
rand5,sharpness,corruption: glass_blur, severity: 2,batch-size: 16,39.36,40.14
rand5,sharpness,corruption: defocus_blur, severity: 2,batch-size: 16,45.58,43.9
rand5,sharpness,corruption: zoom_blur, severity: 2,batch-size: 16,35.46,34.46
rand5,sharpness,corruption: motion_blur, severity: 2,batch-size: 16,47.84,46.36
rand5,sharpness,corruption: brightness, severity: 2,batch-size: 16,58.72,56.42
rand5,sharpness,corruption: snow, severity: 2,batch-size: 16,32.46,31.7
rand5,sharpness,corruption: frost, severity: 2,batch-size: 16,38.48,36.08
rand5,sharpness,corruption: fog, severity: 2,batch-size: 16,51.14,46.88
rand5,sharpness,corruption: contrast, severity: 2,batch-size: 16,53.08,50.24
rand5,sharpness,corruption: pixelate, severity: 2,batch-size: 16,54.24,53.4
rand5,sharpness,corruption: jpeg_compression, severity: 2,batch-size: 16,52.16,50.02
rand5,sharpness,corruption: elastic_transform, severity: 2,batch-size: 16,36.86,35.22
rand5,sharpness,corruption: gaussian_noise, severity: 3,batch-size: 16,35.38,36.18
rand5,sharpness,corruption: shot_noise, severity: 3,batch-size: 16,33.9,35.36
rand5,sharpness,corruption: impulse_noise, severity: 3,batch-size: 16,34.44,36.22
rand5,sharpness,corruption: glass_blur, severity: 3,batch-size: 16,18.78,19.36
rand5,sharpness,corruption: defocus_blur, severity: 3,batch-size: 16,36.7,35.02
rand5,sharpness,corruption: zoom_blur, severity: 3,batch-size: 16,29.76,28.34
rand5,sharpness,corruption: motion_blur, severity: 3,batch-size: 16,37.66,35.38
rand5,sharpness,corruption: brightness, severity: 3,batch-size: 16,56.18,53.68
rand5,sharpness,corruption: snow, severity: 3,batch-size: 16,32.44,31.44
rand5,sharpness,corruption: frost, severity: 3,batch-size: 16,31.34,28.86
