l_2 ,,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 1,batch-size: 8,0.5878,0.5922
l_2 ,,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 1,batch-size: 8,0.5732,0.5816
l_2 ,,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 1,batch-size: 8,0.4638,0.4766
l_2 ,,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 1,batch-size: 8,0.509,0.516
l_2 ,,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 1,batch-size: 8,0.5496,0.548
l_2 ,,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 1,batch-size: 8,0.5198,0.5242
l_2 ,,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 1,batch-size: 8,0.6146,0.6146
l_2 ,,reverse_iter: ,[1],corruption: ,['snow'],severity: 1,batch-size: 8,0.5096,0.5172
l_2 ,,reverse_iter: ,[1],corruption: ,['frost'],severity: 1,batch-size: 8,0.5648,0.5674
l_2 ,,reverse_iter: ,[1],corruption: ,['fog'],severity: 1,batch-size: 8,0.5644,0.57
l_2 ,,reverse_iter: ,[1],corruption: ,['brightness'],severity: 1,batch-size: 8,0.7138,0.716
l_2 ,,reverse_iter: ,[1],corruption: ,['contrast'],severity: 1,batch-size: 8,0.593,0.5968
l_2 ,,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 1,batch-size: 8,0.6242,0.628
l_2 ,,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 1,batch-size: 8,0.6374,0.64
l_2 ,,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 1,batch-size: 8,0.6514,0.6518
l_2 ,,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 2,batch-size: 8,0.4768,0.4842
l_2 ,,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 2,batch-size: 8,0.4242,0.4358
l_2 ,,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 2,batch-size: 8,0.3704,0.3826
l_2 ,,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 2,batch-size: 8,0.3732,0.3794
l_2 ,,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 2,batch-size: 8,0.4714,0.4714
l_2 ,,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 2,batch-size: 8,0.4318,0.4342
l_2 ,,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 2,batch-size: 8,0.5064,0.5078
l_2 ,,reverse_iter: ,[1],corruption: ,['snow'],severity: 2,batch-size: 8,0.27,0.2822
l_2 ,,reverse_iter: ,[1],corruption: ,['frost'],severity: 2,batch-size: 8,0.3712,0.3828
l_2 ,,reverse_iter: ,[1],corruption: ,['fog'],severity: 2,batch-size: 8,0.5054,0.5156
l_2 ,,reverse_iter: ,[1],corruption: ,['brightness'],severity: 2,batch-size: 8,0.6918,0.6934
l_2 ,,reverse_iter: ,[1],corruption: ,['contrast'],severity: 2,batch-size: 8,0.5202,0.5298
l_2 ,,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 2,batch-size: 8,0.5934,0.5982
l_2 ,,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 2,batch-size: 8,0.6006,0.6024
l_2 ,,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 2,batch-size: 8,0.4346,0.438
l_2 ,,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 3,batch-size: 8,0.3038,0.3122
l_2 ,,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 3,batch-size: 8,0.2754,0.2848
l_2 ,,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 3,batch-size: 8,0.3012,0.3118
l_2 ,,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 3,batch-size: 8,0.1554,0.1744
l_2 ,,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 3,batch-size: 8,0.3262,0.3272
l_2 ,,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 3,batch-size: 8,0.3494,0.3568
l_2 ,,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 3,batch-size: 8,0.3522,0.352
l_2 ,,reverse_iter: ,[1],corruption: ,['snow'],severity: 3,batch-size: 8,0.3156,0.3234
l_2 ,,reverse_iter: ,[1],corruption: ,['frost'],severity: 3,batch-size: 8,0.2576,0.2708
l_2 ,,reverse_iter: ,[1],corruption: ,['fog'],severity: 3,batch-size: 8,0.418,0.4264
l_2 ,,reverse_iter: ,[1],corruption: ,['brightness'],severity: 3,batch-size: 8,0.6556,0.6588
l_2 ,,reverse_iter: ,[1],corruption: ,['contrast'],severity: 3,batch-size: 8,0.3892,0.4068
l_2 ,,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 3,batch-size: 8,0.4716,0.4798
l_2 ,,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 3,batch-size: 8,0.576,0.5792
l_2 ,,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 3,batch-size: 8,0.5202,0.5238
l_2 ,,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 4,batch-size: 8,0.1558,0.1606
l_2 ,,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 4,batch-size: 8,0.1178,0.122
l_2 ,,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 4,batch-size: 8,0.1492,0.1538
l_2 ,,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 4,batch-size: 8,0.1106,0.1298
l_2 ,,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 4,batch-size: 8,0.2262,0.2178
l_2 ,,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 4,batch-size: 8,0.284,0.2916
l_2 ,,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 4,batch-size: 8,0.1934,0.2036
l_2 ,,reverse_iter: ,[1],corruption: ,['snow'],severity: 4,batch-size: 8,0.1896,0.2022
l_2 ,,reverse_iter: ,[1],corruption: ,['frost'],severity: 4,batch-size: 8,0.238,0.2492
l_2 ,,reverse_iter: ,[1],corruption: ,['fog'],severity: 4,batch-size: 8,0.3522,0.3654
l_2 ,,reverse_iter: ,[1],corruption: ,['brightness'],severity: 4,batch-size: 8,0.6018,0.6112
l_2 ,,reverse_iter: ,[1],corruption: ,['contrast'],severity: 4,batch-size: 8,0.1406,0.1512
l_2 ,,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 4,batch-size: 8,0.321,0.3374
l_2 ,,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 4,batch-size: 8,0.4802,0.4892
l_2 ,,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 4,batch-size: 8,0.3858,0.3942
l_2 ,,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 5,batch-size: 8,0.0528,0.054
l_2 ,,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 5,batch-size: 8,0.062,0.0624
l_2 ,,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 5,batch-size: 8,0.0544,0.056
l_2 ,,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 5,batch-size: 8,0.0804,0.0918
l_2 ,,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 5,batch-size: 8,0.1384,0.1382
l_2 ,,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 5,batch-size: 8,0.2228,0.2288
l_2 ,,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 5,batch-size: 8,0.1288,0.1376
l_2 ,,reverse_iter: ,[1],corruption: ,['snow'],severity: 5,batch-size: 8,0.1208,0.1334
l_2 ,,reverse_iter: ,[1],corruption: ,['frost'],severity: 5,batch-size: 8,0.1822,0.1922
l_2 ,,reverse_iter: ,[1],corruption: ,['fog'],severity: 5,batch-size: 8,0.2142,0.2254
l_2 ,,reverse_iter: ,[1],corruption: ,['brightness'],severity: 5,batch-size: 8,0.5206,0.533
l_2 ,,reverse_iter: ,[1],corruption: ,['contrast'],severity: 5,batch-size: 8,0.0322,0.0312
l_2 ,,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 5,batch-size: 8,0.2272,0.2512
l_2 ,,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 5,batch-size: 8,0.3394,0.3626
l_2 ,,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 5,batch-size: 8,0.1406,0.1556
