l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['gaussian_noise'],severity: 1,batch-size: 8,0.5892,0.594
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['shot_noise'],severity: 1,batch-size: 8,0.5728,0.5768
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['impulse_noise'],severity: 1,batch-size: 8,0.4728,0.4744
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['defocus_blur'],severity: 1,batch-size: 8,0.5628,0.5586
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['glass_blur'],severity: 1,batch-size: 8,0.5216,0.5346
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['motion_blur'],severity: 1,batch-size: 8,0.6236,0.6206
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['zoom_blur'],severity: 1,batch-size: 8,0.526,0.5296
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['brightness'],severity: 1,batch-size: 8,0.717,0.7132
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['snow'],severity: 1,batch-size: 8,0.5174,0.5146
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['frost'],severity: 1,batch-size: 8,0.5802,0.576
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['fog'],severity: 1,batch-size: 8,0.5882,0.5846
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['contrast'],severity: 1,batch-size: 8,0.6188,0.6168
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['elastic_transform'],severity: 1,batch-size: 8,0.66,0.6532
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['pixelate'],severity: 1,batch-size: 8,0.6326,0.6402
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['jpeg_compression'],severity: 1,batch-size: 8,0.6402,0.6372
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['gaussian_noise'],severity: 2,batch-size: 8,0.4718,0.4786
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['shot_noise'],severity: 2,batch-size: 8,0.4276,0.4354
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['impulse_noise'],severity: 2,batch-size: 8,0.3714,0.3796
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['defocus_blur'],severity: 2,batch-size: 8,0.4892,0.4844
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['glass_blur'],severity: 2,batch-size: 8,0.389,0.4076
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['motion_blur'],severity: 2,batch-size: 8,0.5112,0.5114
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['zoom_blur'],severity: 2,batch-size: 8,0.4324,0.4334
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['brightness'],severity: 2,batch-size: 8,0.6998,0.695
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['snow'],severity: 2,batch-size: 8,0.2986,0.2984
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['frost'],severity: 2,batch-size: 8,0.3928,0.3964
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['fog'],severity: 2,batch-size: 8,0.532,0.5276
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['contrast'],severity: 2,batch-size: 8,0.5512,0.549
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['elastic_transform'],severity: 2,batch-size: 8,0.4446,0.4404
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['pixelate'],severity: 2,batch-size: 8,0.6026,0.6184
