l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 1,batch-size: 8,0.5892,0.591
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 1,batch-size: 8,0.5728,0.572
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 1,batch-size: 8,0.4728,0.4728
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 1,batch-size: 8,0.5628,0.5576
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 1,batch-size: 8,0.5216,0.533
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 1,batch-size: 8,0.6236,0.6188
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 1,batch-size: 8,0.526,0.5242
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['brightness'],severity: 1,batch-size: 8,0.717,0.7118
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['snow'],severity: 1,batch-size: 8,0.5174,0.5112
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['frost'],severity: 1,batch-size: 8,0.5802,0.5758
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['fog'],severity: 1,batch-size: 8,0.5882,0.5832
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['contrast'],severity: 1,batch-size: 8,0.6188,0.6134
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 1,batch-size: 8,0.66,0.6564
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 1,batch-size: 8,0.6326,0.6436
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 1,batch-size: 8,0.6402,0.635
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 2,batch-size: 8,0.4718,0.4758
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 2,batch-size: 8,0.4276,0.4312
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 2,batch-size: 8,0.3714,0.3822
