l_2 ,,reverse_iter: ,[3],corruption: ,['gaussian_noise'],severity: 1,batch-size: 8,0.5878,0.5882
l_2 ,,reverse_iter: ,[3],corruption: ,['shot_noise'],severity: 1,batch-size: 8,0.5732,0.5734
l_2 ,,reverse_iter: ,[3],corruption: ,['impulse_noise'],severity: 1,batch-size: 8,0.4638,0.4642
l_2 ,,reverse_iter: ,[3],corruption: ,['glass_blur'],severity: 1,batch-size: 8,0.509,0.5096
l_2 ,,reverse_iter: ,[3],corruption: ,['defocus_blur'],severity: 1,batch-size: 8,0.5496,0.5502
l_2 ,,reverse_iter: ,[3],corruption: ,['zoom_blur'],severity: 1,batch-size: 8,0.5198,0.5206
l_2 ,,reverse_iter: ,[3],corruption: ,['motion_blur'],severity: 1,batch-size: 8,0.6146,0.6142
l_2 ,,reverse_iter: ,[3],corruption: ,['snow'],severity: 1,batch-size: 8,0.5096,0.5094
l_2 ,,reverse_iter: ,[3],corruption: ,['frost'],severity: 1,batch-size: 8,0.5648,0.5646
l_2 ,,reverse_iter: ,[3],corruption: ,['fog'],severity: 1,batch-size: 8,0.5644,0.565
l_2 ,,reverse_iter: ,[3],corruption: ,['brightness'],severity: 1,batch-size: 8,0.7138,0.7144
l_2 ,,reverse_iter: ,[3],corruption: ,['contrast'],severity: 1,batch-size: 8,0.593,0.5934
l_2 ,,reverse_iter: ,[3],corruption: ,['pixelate'],severity: 1,batch-size: 8,0.6242,0.6244
l_2 ,,reverse_iter: ,[3],corruption: ,['jpeg_compression'],severity: 1,batch-size: 8,0.6374,0.6374
l_2 ,,reverse_iter: ,[3],corruption: ,['elastic_transform'],severity: 1,batch-size: 8,0.6514,0.6514
l_2 ,,reverse_iter: ,[3],corruption: ,['gaussian_noise'],severity: 2,batch-size: 8,0.4768,0.4768
l_2 ,,reverse_iter: ,[3],corruption: ,['shot_noise'],severity: 2,batch-size: 8,0.4242,0.4242
l_2 ,,reverse_iter: ,[3],corruption: ,['impulse_noise'],severity: 2,batch-size: 8,0.3704,0.371
l_2 ,,reverse_iter: ,[3],corruption: ,['glass_blur'],severity: 2,batch-size: 8,0.3732,0.3726
l_2 ,,reverse_iter: ,[3],corruption: ,['defocus_blur'],severity: 2,batch-size: 8,0.4714,0.4714
