l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['gaussian_noise'],severity: 1,batch-size: 8,0.5892,0.5984
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['shot_noise'],severity: 1,batch-size: 8,0.5728,0.5822
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['impulse_noise'],severity: 1,batch-size: 8,0.4728,0.5096
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['defocus_blur'],severity: 1,batch-size: 8,0.5628,0.5578
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['glass_blur'],severity: 1,batch-size: 8,0.5216,0.5332
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['motion_blur'],severity: 1,batch-size: 8,0.6236,0.6222
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['zoom_blur'],severity: 1,batch-size: 8,0.526,0.5264
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['brightness'],severity: 1,batch-size: 8,0.717,0.7092
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['snow'],severity: 1,batch-size: 8,0.5174,0.5056
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['frost'],severity: 1,batch-size: 8,0.5802,0.5668
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['fog'],severity: 1,batch-size: 8,0.5882,0.5802
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['contrast'],severity: 1,batch-size: 8,0.6188,0.6156
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['elastic_transform'],severity: 1,batch-size: 8,0.66,0.6532
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['pixelate'],severity: 1,batch-size: 8,0.6326,0.6544
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['jpeg_compression'],severity: 1,batch-size: 8,0.6402,0.6326
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['gaussian_noise'],severity: 2,batch-size: 8,0.4718,0.4934
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['shot_noise'],severity: 2,batch-size: 8,0.4276,0.452
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['impulse_noise'],severity: 2,batch-size: 8,0.3714,0.4094
