l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 1,batch-size: 8,0.5892,0.5964
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 1,batch-size: 8,0.5728,0.5796
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 1,batch-size: 8,0.4728,0.4982
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 1,batch-size: 8,0.5628,0.56
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 1,batch-size: 8,0.5216,0.5344
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 1,batch-size: 8,0.6236,0.6228
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 1,batch-size: 8,0.526,0.5266
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['brightness'],severity: 1,batch-size: 8,0.717,0.709
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['snow'],severity: 1,batch-size: 8,0.5174,0.508
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['frost'],severity: 1,batch-size: 8,0.5802,0.5722
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['fog'],severity: 1,batch-size: 8,0.5882,0.5818
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['contrast'],severity: 1,batch-size: 8,0.6188,0.6138
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 1,batch-size: 8,0.66,0.6558
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 1,batch-size: 8,0.6326,0.6512
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 1,batch-size: 8,0.6402,0.6364
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 2,batch-size: 8,0.4718,0.487
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 2,batch-size: 8,0.4276,0.442
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 2,batch-size: 8,0.3714,0.403
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 2,batch-size: 8,0.4892,0.4808
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 2,batch-size: 8,0.389,0.404
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 2,batch-size: 8,0.5112,0.5144
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 2,batch-size: 8,0.4324,0.4316
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['brightness'],severity: 2,batch-size: 8,0.6998,0.692
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['snow'],severity: 2,batch-size: 8,0.2986,0.294
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['frost'],severity: 2,batch-size: 8,0.3928,0.3856
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['fog'],severity: 2,batch-size: 8,0.532,0.5278
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['contrast'],severity: 2,batch-size: 8,0.5512,0.5462
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 2,batch-size: 8,0.4446,0.4412
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 2,batch-size: 8,0.6026,0.644
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 2,batch-size: 8,0.6014,0.6044
