l_2 ,,reverse_iter: ,[10],corruption: ,['gaussian_noise'],severity: 1,batch-size: 8,0.6852,0.6996
l_2 ,,reverse_iter: ,[10],corruption: ,['impulse_noise'],severity: 1,batch-size: 8,0.5464,0.5588
l_2 ,,reverse_iter: ,[10],corruption: ,['shot_noise'],severity: 1,batch-size: 8,0.6696,0.6852
l_2 ,,reverse_iter: ,[10],corruption: ,['shot_noise'],severity: 1,batch-size: 8,0.6696,0.6852
l_2 ,,reverse_iter: ,[10],corruption: ,['defocus_blur'],severity: 1,batch-size: 8,0.619,0.6518
l_2 ,,reverse_iter: ,[10],corruption: ,['motion_blur'],severity: 1,batch-size: 8,0.6888,0.716
l_2 ,,reverse_iter: ,[10],corruption: ,['glass_blur'],severity: 1,batch-size: 8,0.6052,0.6332
l_2 ,,reverse_iter: ,[10],corruption: ,['zoom_blur'],severity: 1,batch-size: 8,0.5654,0.5922
l_2 ,,reverse_iter: ,[10],corruption: ,['brightness'],severity: 1,batch-size: 8,0.7722,0.7914
l_2 ,,reverse_iter: ,[10],corruption: ,['snow'],severity: 1,batch-size: 8,0.6326,0.6478
l_2 ,,reverse_iter: ,[10],corruption: ,['frost'],severity: 1,batch-size: 8,0.6872,0.7058
l_2 ,,reverse_iter: ,[10],corruption: ,['fog'],severity: 1,batch-size: 8,0.6536,0.6886
l_2 ,,reverse_iter: ,[10],corruption: ,['contrast'],severity: 1,batch-size: 8,0.6596,0.691
l_2 ,,reverse_iter: ,[10],corruption: ,['elastic_transform'],severity: 1,batch-size: 8,0.7284,0.749
l_2 ,,reverse_iter: ,[10],corruption: ,['pixelate'],severity: 1,batch-size: 8,0.664,0.688
l_2 ,,reverse_iter: ,[10],corruption: ,['jpeg_compression'],severity: 1,batch-size: 8,0.6796,0.6984
l_2 ,,reverse_iter: ,[10],corruption: ,['gaussian_noise'],severity: 2,batch-size: 8,0.5454,0.5556
l_2 ,,reverse_iter: ,[10],corruption: ,['impulse_noise'],severity: 2,batch-size: 8,0.426,0.438
l_2 ,,reverse_iter: ,[10],corruption: ,['shot_noise'],severity: 2,batch-size: 8,0.5064,0.5152
l_2 ,,reverse_iter: ,[10],corruption: ,['defocus_blur'],severity: 2,batch-size: 8,0.5324,0.5746
l_2 ,,reverse_iter: ,[10],corruption: ,['motion_blur'],severity: 2,batch-size: 8,0.576,0.6062
l_2 ,,reverse_iter: ,[10],corruption: ,['glass_blur'],severity: 2,batch-size: 8,0.4688,0.5048
l_2 ,,reverse_iter: ,[10],corruption: ,['zoom_blur'],severity: 2,batch-size: 8,0.4654,0.4932
l_2 ,,reverse_iter: ,[10],corruption: ,['brightness'],severity: 2,batch-size: 8,0.7622,0.7796
l_2 ,,reverse_iter: ,[10],corruption: ,['snow'],severity: 2,batch-size: 8,0.411,0.4292
l_2 ,,reverse_iter: ,[10],corruption: ,['frost'],severity: 2,batch-size: 8,0.5076,0.529
l_2 ,,reverse_iter: ,[10],corruption: ,['fog'],severity: 2,batch-size: 8,0.5872,0.632
l_2 ,,reverse_iter: ,[10],corruption: ,['contrast'],severity: 2,batch-size: 8,0.5776,0.6208
l_2 ,,reverse_iter: ,[10],corruption: ,['elastic_transform'],severity: 2,batch-size: 8,0.6056,0.6298
l_2 ,,reverse_iter: ,[10],corruption: ,['pixelate'],severity: 2,batch-size: 8,0.633,0.6554
l_2 ,,reverse_iter: ,[10],corruption: ,['jpeg_compression'],severity: 2,batch-size: 8,0.6424,0.6662
l_2 ,,reverse_iter: ,[10],corruption: ,['gaussian_noise'],severity: 3,batch-size: 8,0.3162,0.3248
l_2 ,,reverse_iter: ,[10],corruption: ,['impulse_noise'],severity: 3,batch-size: 8,0.3256,0.3348
l_2 ,,reverse_iter: ,[10],corruption: ,['shot_noise'],severity: 3,batch-size: 8,0.3028,0.3118
l_2 ,,reverse_iter: ,[10],corruption: ,['defocus_blur'],severity: 3,batch-size: 8,0.373,0.4276
l_2 ,,reverse_iter: ,[10],corruption: ,['motion_blur'],severity: 3,batch-size: 8,0.4084,0.4454
l_2 ,,reverse_iter: ,[10],corruption: ,['glass_blur'],severity: 3,batch-size: 8,0.2322,0.258
l_2 ,,reverse_iter: ,[10],corruption: ,['zoom_blur'],severity: 3,batch-size: 8,0.3828,0.4158
l_2 ,,reverse_iter: ,[10],corruption: ,['brightness'],severity: 3,batch-size: 8,0.7354,0.7554
l_2 ,,reverse_iter: ,[10],corruption: ,['snow'],severity: 3,batch-size: 8,0.4108,0.425
l_2 ,,reverse_iter: ,[10],corruption: ,['frost'],severity: 3,batch-size: 8,0.3794,0.3992
l_2 ,,reverse_iter: ,[10],corruption: ,['fog'],severity: 3,batch-size: 8,0.497,0.5448
l_2 ,,reverse_iter: ,[10],corruption: ,['contrast'],severity: 3,batch-size: 8,0.4114,0.476
l_2 ,,reverse_iter: ,[10],corruption: ,['elastic_transform'],severity: 3,batch-size: 8,0.6708,0.6928
l_2 ,,reverse_iter: ,[10],corruption: ,['pixelate'],severity: 3,batch-size: 8,0.4906,0.5166
l_2 ,,reverse_iter: ,[10],corruption: ,['jpeg_compression'],severity: 3,batch-size: 8,0.6072,0.6284
